member_id,age,gender,membership_type,workout_type,workout_duration_minutes,calories_burned,check_in_time,attendance_status
1,64,Other,Annual,HIIT,28,171,20:04,Absent
2,65,Female,Quarterly,Strength Training,72,650,19:17,Absent
3,45,Male,Quarterly,Cardio,70,633,07:24,Absent
4,35,Female,Monthly,CrossFit,64,362,07:18,Absent
5,26,Female,Quarterly,Yoga,31,262,11:22,Absent
6,45,Other,Quarterly,Cardio,63,518,20:08,Present
7,30,Other,Quarterly,CrossFit,50,404,18:17,Absent
8,38,Male,Annual,Yoga,99,959,21:59,Absent
9,61,Female,Monthly,CrossFit,36,289,09:39,Present
10,36,Other,Quarterly,Strength Training,94,643,11:29,Absent
11,60,Female,Monthly,Strength Training,110,738,22:43,Present
12,26,Female,Monthly,HIIT,86,547,08:17,Absent
13,48,Female,Quarterly,HIIT,44,389,19:08,Absent
14,54,Other,Annual,Yoga,99,644,14:45,Absent
15,40,Other,Quarterly,CrossFit,99,643,20:18,Present
16,38,Other,Monthly,HIIT,106,976,13:15,Absent
17,28,Other,Monthly,Yoga,34,244,09:13,Present
18,35,Other,Annual,CrossFit,25,211,18:38,Present
19,32,Female,Annual,CrossFit,55,402,09:06,Present
20,32,Female,Monthly,CrossFit,48,330,10:35,Present
21,51,Other,Monthly,Cardio,68,526,16:58,Absent
22,53,Female,Annual,HIIT,41,248,14:24,Absent
23,30,Male,Quarterly,HIIT,98,577,20:49,Absent
24,20,Male,Monthly,CrossFit,104,589,21:37,Present
25,63,Male,Annual,Yoga,54,288,12:09,Present
26,21,Female,Annual,Yoga,40,358,14:09,Absent
27,52,Male,Monthly,CrossFit,77,620,14:48,Absent
28,49,Other,Annual,HIIT,37,187,19:56,Absent
29,39,Other,Quarterly,Strength Training,120,991,21:23,Present
30,57,Female,Annual,CrossFit,96,621,13:16,Absent
31,18,Male,Monthly,Cardio,52,455,09:43,Present
32,19,Male,Monthly,CrossFit,59,374,19:23,Present
33,27,Female,Annual,Strength Training,23,127,22:44,Present
34,51,Male,Quarterly,CrossFit,36,208,20:18,Present
35,50,Female,Monthly,CrossFit,59,584,17:28,Present
36,48,Male,Monthly,Cardio,20,159,07:50,Absent
37,49,Female,Annual,Strength Training,81,756,11:16,Absent
38,47,Female,Annual,CrossFit,107,779,15:14,Present
39,61,Female,Monthly,Strength Training,94,737,08:57,Present
40,26,Other,Monthly,Yoga,100,562,05:16,Present
41,50,Other,Quarterly,HIIT,51,428,15:05,Present
42,26,Male,Annual,HIIT,94,859,07:04,Present
43,45,Female,Monthly,HIIT,61,412,08:43,Absent
44,19,Male,Monthly,Cardio,81,570,20:36,Absent
45,39,Female,Monthly,Yoga,26,208,14:20,Absent
46,33,Male,Monthly,CrossFit,56,336,21:50,Absent
47,40,Other,Quarterly,Yoga,92,524,19:24,Absent
48,32,Female,Monthly,Cardio,63,546,18:26,Absent
49,42,Male,Monthly,CrossFit,103,755,16:47,Present
50,42,Other,Quarterly,Strength Training,99,746,16:19,Absent
51,27,Male,Monthly,Yoga,60,337,09:43,Present
52,42,Male,Annual,CrossFit,42,346,05:27,Present
53,47,Male,Quarterly,CrossFit,55,286,13:54,Absent
54,23,Female,Monthly,CrossFit,115,1086,21:11,Absent
55,18,Male,Annual,Cardio,53,483,15:03,Absent
56,22,Other,Quarterly,Cardio,44,423,18:47,Present
57,37,Male,Monthly,Cardio,37,242,11:54,Present
58,39,Other,Annual,Yoga,76,596,09:48,Absent
59,59,Female,Monthly,HIIT,47,460,17:00,Absent
60,65,Other,Annual,HIIT,57,318,19:47,Present
61,54,Female,Annual,Yoga,120,751,20:44,Present
62,52,Other,Monthly,Strength Training,113,878,09:42,Present
63,43,Female,Quarterly,Strength Training,22,142,22:58,Absent
64,55,Male,Quarterly,HIIT,33,248,05:51,Absent
65,33,Other,Quarterly,HIIT,37,251,10:56,Present
66,29,Male,Quarterly,Cardio,83,683,22:12,Absent
67,47,Female,Monthly,Cardio,25,172,05:44,Present
68,31,Other,Quarterly,Yoga,42,243,10:34,Present
69,34,Male,Quarterly,Cardio,54,515,20:05,Absent
70,61,Male,Monthly,CrossFit,32,304,07:12,Absent
71,22,Female,Annual,Strength Training,92,715,07:12,Absent
72,30,Male,Annual,Cardio,49,378,11:52,Absent
73,30,Female,Monthly,HIIT,26,233,17:42,Present
74,34,Male,Quarterly,HIIT,58,561,19:50,Present
75,33,Female,Monthly,CrossFit,53,340,05:22,Absent
76,45,Male,Quarterly,Strength Training,54,522,05:01,Absent
77,27,Other,Monthly,HIIT,84,476,22:34,Present
78,27,Female,Annual,Cardio,80,549,21:01,Absent
79,63,Other,Quarterly,Strength Training,45,265,21:09,Present
80,59,Other,Annual,CrossFit,89,502,21:53,Present
81,60,Male,Quarterly,Yoga,98,630,21:54,Present
82,23,Other,Quarterly,Strength Training,43,228,06:52,Absent
83,44,Male,Quarterly,CrossFit,20,148,08:30,Absent
84,38,Other,Quarterly,Strength Training,108,605,22:52,Absent
85,25,Female,Annual,Yoga,40,364,13:59,Present
86,33,Female,Quarterly,Cardio,104,997,07:43,Present
87,52,Female,Monthly,CrossFit,115,1098,16:18,Absent
88,19,Male,Annual,HIIT,104,713,06:35,Absent
89,53,Male,Quarterly,HIIT,37,194,15:22,Present
90,18,Male,Quarterly,Cardio,41,342,10:41,Absent
91,48,Male,Quarterly,Yoga,71,672,13:50,Absent
92,20,Other,Monthly,CrossFit,26,148,09:25,Present
93,32,Female,Annual,Yoga,64,562,22:15,Present
94,47,Male,Monthly,HIIT,114,937,22:33,Absent
95,41,Male,Quarterly,CrossFit,110,865,16:19,Absent
96,58,Other,Annual,Strength Training,101,778,10:39,Absent
97,59,Female,Monthly,Yoga,110,585,22:57,Present
98,58,Other,Monthly,Strength Training,98,721,12:34,Present
99,33,Female,Annual,Yoga,49,465,10:14,Absent
100,42,Female,Quarterly,CrossFit,69,369,18:31,Present
101,51,Male,Annual,HIIT,108,856,09:04,Absent
102,36,Male,Annual,CrossFit,48,459,07:03,Absent
103,20,Female,Annual,Yoga,89,714,06:34,Present
104,64,Male,Monthly,CrossFit,86,796,07:55,Present
105,22,Other,Monthly,Strength Training,64,590,19:39,Absent
106,37,Female,Annual,Strength Training,108,961,15:30,Present
107,30,Other,Annual,HIIT,80,596,09:01,Absent
108,64,Other,Quarterly,Cardio,73,623,10:45,Present
109,31,Female,Annual,Cardio,28,236,10:08,Absent
110,48,Other,Quarterly,CrossFit,25,138,14:03,Present
111,18,Male,Quarterly,HIIT,62,429,18:40,Absent
112,30,Female,Monthly,HIIT,65,555,19:39,Present
113,37,Other,Quarterly,HIIT,120,842,20:17,Present
114,42,Male,Quarterly,Yoga,88,761,05:32,Absent
115,27,Other,Annual,HIIT,27,203,12:15,Present
116,47,Other,Quarterly,CrossFit,42,393,20:17,Absent
117,49,Other,Quarterly,Cardio,31,193,09:26,Absent
118,64,Other,Quarterly,Yoga,89,668,16:33,Present
119,59,Female,Annual,HIIT,39,277,05:25,Absent
120,47,Male,Monthly,Strength Training,69,591,09:23,Absent
121,64,Male,Annual,Yoga,32,262,08:10,Present
122,19,Female,Monthly,Cardio,120,1072,20:51,Absent
123,32,Male,Quarterly,CrossFit,50,498,05:42,Absent
124,23,Male,Annual,CrossFit,83,748,16:54,Present
125,30,Other,Quarterly,HIIT,86,774,21:09,Present
126,54,Male,Annual,Yoga,37,194,19:14,Absent
127,62,Male,Annual,Strength Training,87,788,11:13,Absent
128,18,Other,Monthly,Yoga,28,266,14:38,Absent
129,18,Male,Annual,Strength Training,53,415,15:30,Present
130,61,Other,Quarterly,Cardio,103,756,05:33,Present
131,37,Female,Annual,CrossFit,104,873,17:13,Absent
132,18,Male,Quarterly,Cardio,88,828,06:25,Absent
133,52,Male,Quarterly,HIIT,84,534,17:02,Present
134,37,Other,Annual,Cardio,65,327,05:11,Absent
135,59,Other,Monthly,Cardio,44,341,16:15,Absent
136,65,Male,Quarterly,Strength Training,113,934,14:09,Absent
137,50,Other,Monthly,Cardio,117,878,06:06,Present
138,38,Other,Quarterly,Strength Training,98,578,07:43,Present
139,34,Male,Annual,Cardio,42,214,20:37,Present
140,51,Female,Annual,Yoga,63,466,10:46,Present
141,56,Female,Annual,Cardio,67,440,13:38,Present
142,38,Female,Annual,HIIT,82,816,09:38,Absent
143,20,Other,Annual,Strength Training,80,403,07:40,Absent
144,32,Female,Monthly,Yoga,48,476,10:24,Absent
145,52,Other,Annual,Strength Training,27,155,16:55,Absent
146,20,Other,Monthly,Cardio,56,405,08:19,Present
147,38,Female,Quarterly,Cardio,106,808,17:12,Present
148,48,Male,Monthly,Yoga,109,793,06:26,Present
149,18,Male,Monthly,Strength Training,83,823,13:11,Absent
150,64,Other,Quarterly,CrossFit,91,537,06:24,Present
151,29,Other,Annual,Yoga,31,268,15:57,Absent
152,41,Other,Quarterly,Strength Training,83,819,05:38,Present
153,19,Other,Quarterly,CrossFit,65,472,17:58,Absent
154,27,Male,Quarterly,CrossFit,66,469,10:50,Present
155,20,Male,Annual,CrossFit,52,488,13:11,Absent
156,37,Other,Annual,CrossFit,54,487,10:20,Present
157,57,Other,Monthly,Strength Training,63,341,06:46,Absent
158,65,Other,Monthly,Strength Training,74,667,20:48,Absent
159,49,Female,Monthly,HIIT,59,367,20:38,Present
160,49,Other,Monthly,HIIT,56,512,16:22,Absent
161,26,Female,Annual,Strength Training,100,984,13:25,Absent
